IRT,0.28,17.9583,70.72
KDP,1.92,16.2360,56.88
HCC,4.16,2.4071,19.52
COKE,38.94,6.8035,53.83
SONO,0.39,70.7920,9.89
RPAY,0.94,16.6909,49.02
H,3.51,17.6641,93.05
CNXC,12.36,6.5841,91.52
SMPL,1.8,16.5969,24
CABO,54.98,7.9587,213.85
SSTK,4.62,8.6200,14.28
TILE,1.07,7.3285,146.66
CBRL,6.63,13.0021,254
CTRN,0.51,31.0359,157.14
ASH,5.76,10.7917,46.3
PCH,1.35,19.9130,47.22
GSHD,1.6,55.1059,0
CENX,0.39,167.3104,142.09
BW,0.15,12.1161,0
IMAX,1.03,18.7251,80.06
KNX,3.24,8.0773,34.11
SLP,0.74,130.2681,0.56
CLF,2.01,7.3412,49.55
DFH,2.69,9.0504,97.66
MODG,0.87,15.1796,106.47
EHC,3.8,11.0429,142.87
AGX,3.73,6.5697,1.67
VIAV,0.78,15.7739,113.09
GEF,5.79,6.6347,121.13
HCKT,1.69,12.0042,75.53
AHCO,0.86,6.6145,105.77
AXON,3.88,109.3827,49.61
PII,10.82,7.1717,174.7
SKY,4.22,7.1060,0.96
SXC,0.67,4.2225,77.27
HGV,4.39,8.5103,185.61
CACI,22.13,13.4077,64.26
MNRO,1.74,10.6737,88.27
ASIX,4.45,5.3081,32.31
OGE,2.12,10.6454,108.63
GLPI,2.83,15.1427,158.47
PSN,2.6,18.5082,42.76
ITGR,5.07,14.6896,73.54
HDSN,1.35,5.7594,17.46
SCS,0.85,7.4116,79.12
SSNC,5.21,11.4658,114.36
AAN,1.44,4.4724,96.97
TALO,1.7,2.9347,59.12
WING,2.52,45.6714,0
DSGR,0.94,13.0089,97.9
G,3.3,11.0052,82.82
IDCC,4.37,6.5986,104.66
TPG,2.11,25.8213,18.68
GAMB,0.83,18.7793,1.79
SSTI,0.02,248.8120,5.15
QLYS,4.96,31.0094,12.54
CMP,1.32,9.7139,134.34
IMXI,2.22,6.8705,146.88
FF,0.8,2.6376,0.17
DBRG,0.18,18.5518,140.24
CVI,2.76,3.8496,166.74
STEP,1.79,24.7367,12.85
CLVT,0.87,11.2513,71.39
PEN,2.8,186.5660,21.68
ESMT,0.39,62.5093,3.62
UNFI,2.56,7.1644,181.54
LBRT,2.75,2.9184,25.63
AMKR,2.27,5.3601,34.95
GVA,4.17,13.1527,54.81
KE,3.02,7.7101,54.21
FTI,1.09,15.3919,75.38
MTG,2.29,4.8026,13.7
UFPT,6.63,18.7025,27.39
VST,3.37,5.7489,229.44
NSA,0.71,13.8467,153.7
SOI,1.33,5.0649,18.4
ACM,4.39,15.1400,112.01
BRO,2.91,19.0464,79.8
UTI,0.44,13.8190,161.22
AMRC,2.56,26.6657,176.62
TK,0.43,2.1719,19.23
LPX,4.47,10.7902,28.89
SYNA,7.19,11.0035,82.79
EME,11.97,13.5119,26.86
GLOB,7.01,28.5615,7.48
CLFD,1.18,6.4217,8.4
IOSP,6.87,11.4726,4.19
ASLE,1.11,188.7747,8.82
SRCL,2.38,11.5673,70.94
WDAY,6.61,276.9703,52.1
ADEA,1.4,6.3059,196.2
GXO,3.13,15.1430,144.65
MKSI,5.8,12.6281,205.37
EVH,0.83,41.0781,54.96
RGA,18.56,9.4395,61.43
SNX,11.88,7.0221,49.65
STNG,9.16,3.6392,74.74
SHOO,2.8,10.9033,15.79
LSXMA,3.01,9.2936,105.12
TNC,5.9,9.1719,56.77
ALGM,1.61,22.8439,4.51
VCTR,5.06,7.9515,95.61
THR,2.02,11.0540,29.63
LPRO,0.45,13.7397,68.85
STR,1.09,11.4993,23.47
GFF,3.98,7.9315,515.54
ITT,5.76,13.0556,20.97
ARCB,9.72,7.4091,36.17
INFA,0.96,38.5811,98.7
FIZZ,1.97,19.2744,9.9
CHCT,1.02,19.8746,73.65
KAI,9.82,13.6384,22
SPB,3.98,14.0206,85.05
ALKS,2.13,23.6600,30.42
BERY,7.95,8.4776,294.36
CEIX,16.65,2.4880,18.81
TTD,1.49,190.6767,12.21
BYD,6.75,7.8845,215.7
HCSG,0.78,13.7088,12.78
DBX,2.05,20.6064,0
CPRI,6.23,11.2338,204.58
REZI,1.68,4.8837,60.37
CARS,0.59,10.3973,94.45
PK,0.69,10.7925,117.57
GLDD,0.67,97.4204,124.14
DOOR,9.39,8.3318,157.85
DKS,12.43,7.4741,161.02
LE,0.04,7.6237,92.24
CDMO,0.12,85.7242,100.16
CHDN,6.79,20.3258,541.04
DIN,6.68,11.0282,0
RYN,0.51,23.5881,83.43
SAIA,15.34,18.4391,7.75
NATR,0.74,7.9956,11.89
CARG,1.23,14.7456,28.34
GNTX,2.19,14.1610,0.17
SATS,0.24,2.2661,44.76
CORT,0.93,30.4335,0.07
LMAT,1.49,29.7099,5.92
OOMA,0.74,53.6555,17.82
UFPI,8.63,6.7358,13.63
LEN.B,13.65,5.4075,20.56
MOH,23.3,6.9844,65.75
PATK,8.54,7.2114,140.08
LZ,0.42,240.1498,6.06
BSY,1,59.7369,261.24
RGEN,2.33,44.8280,21.45
TTSH,0.24,9.4264,125.45
GMRE,0.04,13.7943,98.64
INN,0.12,10.9843,101.03
MTN,9.25,13.9204,190.94
CRGY,1.68,2.3820,38.25
CVCO,25.03,7.3342,2.93
USPH,3.18,20.0139,39.84
HEI.A,3.39,28.1603,36.79
ACA,3.29,13.0361,25.7
III,0.49,9.3008,80.46
MYRG,6.85,13.2915,12.66
VAC,10.83,9.4910,207.67
SKT,0.96,16.4148,298.25
MATV,1.72,9.9521,158.43
PLNT,2.56,17.3452,0
LTH,0.68,17.0446,187.6
GIC,2.14,14.2316,61.35
GOGL,1.11,8.2935,78.46
ELS,1.79,24.6770,231.38
DO,1.07,23.1914,54.76
NJR,2.75,12.6822,159.25
SLGN,3.81,8.9522,222.46
STNE,0.97,0.5131,32.26
EPRT,1.55,18.4614,50.97
TTMI,1.39,6.6202,58.11
BEPC,0.81,13.5193,83.64
BZH,5.54,6.7597,95.6
AMEH,1.57,13.4545,39.46
APAM,3.24,9.6447,61.07
GO,1.19,21.3049,117.83
KELYA,2.07,6.4606,5.36
RRX,12.83,17.4234,106.67
AIT,9.81,12.3289,49.78
EPAM,11.01,17.8827,5.54
ESNT,6.69,6.1466,8.9
KAMN,0.8,9.5567,85.83
HAE,4.24,17.5106,88.47
HSTM,0.44,18.5428,6.4
KSS,3.04,10.8953,213.98
CLPR,0.13,22.1302,6026.4
CHE,22.32,21.2064,14.8
EBIX,1.38,7.9269,93.45
NE,5.1,12.6310,15.74
DBI,1.5,8.1263,272.67
ABNB,4.19,38.7735,45.94
NEU,25.82,9.3988,109.6
OSK,8.82,8.7413,17.58
CMPR,3.94,15.7735,0
BVH,4.76,4.7665,341.18
FDS,16.62,23.5662,114.12
PRA,0.89,15.8295,39.65
CHH,6.78,15.0686,2664.96
DTC,1.13,10.0677,30.26
DY,7.18,8.7256,92.26
AMG,20.44,11.0936,56.94
MRVI,0.12,7.3418,68.77
HRB,4.62,7.5858,6044.81
MLNK,0.27,30.1621,73.97
LNTH,6.12,22.5255,107.21
AGCO,15.03,6.0939,59
TDW,7.23,22.2955,20.39
OLP,0.65,14.7875,135.59
SP,3.5,10.9314,239.97
AVTA,0.89,20.3001,75.91
NBIX,4.8,32.2782,14.92
JWN,2.02,5.4076,663.8
CRK,1.66,2.9451,103
ALG,12.04,10.3780,42.07
HPK,2.54,3.6649,77.58
DOCU,2.68,197.8197,117.81
PSTL,0.11,19.3617,80.48
LOVE,2.85,11.3007,86.67
DEN,6.18,6.2295,6.25
WH,4.3,14.8431,233.86
TEX,7.17,6.9033,51.44
TRC,0.55,30.2775,10.24
HTLD,0.86,5.8139,41.61
SJW,2.7,14.3175,139.25
SHO,0.32,10.8824,39.69
ZYXI,0.55,11.9676,114.59
MUR,5.9,4.0661,50.24
CTOS,0.4,16.1322,214.47
NUVA,2.54,13.8410,101.72
HIW,0.82,11.9022,126.31
EPR,2.49,11.7081,122.39
VECO,1.63,19.8844,50.73
GEHC,4.31,11.7803,144.86
DGICA,1.22,112.5966,7.2
CTS,2.62,10.9946,20.44
ESAB,4.61,12.3901,81.3
AMBC,0.18,8.8084,347.69
MOD,3.38,11.0009,64.67
POWI,2.47,33.6391,0
NMIH,3.99,5.8086,23.39
HOG,4.86,9.6218,223.88
HLLY,0.36,14.9989,152.89
PAYO,0.24,38.7228,4.42
SBGI,3,6.5741,684.55
SPXC,4.65,16.1647,57.62
SM,6.84,2.9908,48.05
XPOF,1.27,15.5781,0
HUBB,16.16,17.5043,59.1
IDA,5.41,13.9237,86.75
SYNH,4.02,12.3116,82.87
LPG,2.19,6.1993,89.97
WWW,1.51,11.6885,354.16
OGS,4.31,11.2683,109.25
CWK,1.52,12.4082,221.17
EXPI,0.35,296.3343,0.01
CERT,0.47,27.3067,27.8
SAM,10.69,21.6272,4.57
CASS,3,4.4779,4.18
GTES,1.34,8.7165,79.64
PLAY,4.21,8.0925,911.42
NNN,2.19,15.1710,98.17
EXPO,2.23,35.6614,8.06
SFL,1.24,9.0357,244.14
PZZA,3.06,17.5628,0
ICUI,7.47,17.0694,81.48
HURN,5.08,15.1516,81.17
HZNP,5.66,39.8830,51.32
UVE,1.75,9.6035,46.68
TDC,2.38,17.9630,299.54
SXI,8.55,12.6186,34.12
DSKE,0.55,6.1385,426.12
OLLI,3.08,22.3618,32.58
IBP,10.05,10.2561,169.26
NRDS,0.21,33.8234,3.07
PARA,1.25,9.9740,77.36
CENT,2.86,10.6365,94.7
NFG,5.84,5.9560,85.91
FSLR,13.11,48.7053,8
FWRG,0.44,22.1464,96.55
MCRI,4.81,7.5351,11.32
ON,5.7,13.1032,53.48
GEN,2.4,12.7058,411.25
APLE,0.87,11.8501,47.71
ALX,13.01,14.3825,418.83
DRH,0.47,10.6711,79.94
ALE,4.1,13.0351,53.55
CWT,2.15,18.0131,84.93
AIRC,0.17,17.3490,164.13
BTU,2.68,1.1303,9.83
VRTS,26.07,7.6044,40.39
NOVT,3.53,35.4037,73.81
MGY,2.5,4.0916,21.64
ANF,4.36,8.7551,151.66
CG,3.97,16.2136,139.71
MMS,4.16,14.4983,90.89
ICLR,14.64,16.4892,50.94
ENOV,2.67,17.1376,13.62
AMSF,2.75,11.3074,0
BBWI,3.57,9.3910,0
PYCR,0.51,993.6359,1.67
EEFT,8.25,7.8783,138.08
MSA,7.16,17.3823,102.02
JJSF,5.95,21.0668,19.39
FUL,4.7,11.2886,114.5
WOOF,0.36,11.5193,125.74
