OKE,4.69,9.8116,177.62,64.53
NDAQ,2.87,15.2726,166.75,51.37
WST,8.83,34.4442,11.33,397.15
ADP,10.04,20.3927,100.91,248.2
PLD,2.8,25.4539,49.53,122.16
CB,20.6,11.9233,34.81,206.35
HIG,9.6,7.3355,30.83,71.17
PSX,13.21,6.0954,63.96,122.34
UHS,11.5,8.0967,84.42,130.66
TAP,5.07,10.2183,52.54,64.78
CBOE,7.67,15.1708,47.58,154.62
MMC,8.56,19.1960,120.52,195.69
BSX,2.24,26.0534,51.14,54.56
FRT,2.88,18.6765,144.88,97.32
OXY,5.08,5.3286,70.33,63.84
VMC,8.12,18.3270,62.34,216.59
MAR,9.54,16.6904,0,204.16
AKAM,6.41,16.9632,76.54,104.75
NVR,455.02,9.3415,24.84,6353.5
LW,5.94,16.2451,256.37,98.92
BIIB,17.04,12.3156,45.57,258.92
CSX,2.03,10.3044,150.82,30.18
FOX,2.35,5.7889,77,29.22
CPB,3.25,9.5735,128.01,42.72
ETR,7.19,9.9916,200.77,95.33
AIG,7.8,4.6561,51.94,59.69
KEYS,7.77,13.7878,41.29,132.72
MKTX,8.14,21.5626,6.86,224.77
MAA,4.68,16.7845,69.67,136.7
ESS,5.98,18.9693,103.72,224.07
YUM,5.92,19.8311,0,126.74
CBRE,5.33,17.9669,61.57,85.36
WMB,1.84,10.9733,171.78,33.69
HD,15.12,14.3670,3707.34,328.37
GIS,4.74,13.5787,112.75,65.89
FDX,21.65,9.0681,146.93,254.7
COST,15.52,23.4610,38.2,558.78
VLO,14.06,3.2098,40.45,143.74
VRSN,8.14,21.7585,0,202.26
TGT,9,9.9571,160.73,122.67
KR,4.51,8.2701,187,45.43
CDNS,5.83,52.0613,22.3,243.24
IEX,8.67,18.9539,48.65,215
ALK,6.71,6.3315,98.36,40.43
ENPH,6.59,22.9243,135.78,122.19
TFX,14.33,14.1219,39.63,211.79
GLW,2.31,12.3976,73.05,31.03
NI,1.68,12.3691,166.71,27.08
CSCO,3.96,12.3331,18.92,56.84
CI,28.28,10.7275,71.9,284.82
CNC,6.69,5.9391,82.81,66.42
EMR,4.92,12.1980,33.37,100.12
IDXX,11.14,35.7596,105.64,471.51
FFIV,12.6,16.0308,11,160.66
ULTA,27.01,11.6286,91.64,418.38
IFF,4.47,15.5370,64,68.34
INCY,4.59,20.5585,0.84,64.41
LLY,12.64,55.6578,170,595.56
MPWR,13.51,40.6634,0.36,486.16
DIS,4.6,15.2543,42.53,82.52
RTX,5.58,12.8070,49.84,76.9
MCD,11.65,19.1907,0,279.76
LEG,1.71,10.0712,134.73,26.85
CCI,3.21,16.8453,404.63,98.53
LHX,13.43,14.9083,51.4,168.88
DVN,6.5,4.5558,60.41,50.78
FE,2.68,12.7186,218.83,35.58
NOV,1.76,10.8935,43.42,20.9
XYL,3.98,24.8885,26.28,96.66
CINF,6.1,9.1048,7.86,105.91
CZR,2.13,9.9152,559.12,53.44
PG,6.45,17.8581,75.27,154.75
URI,42.74,10.7826,173.09,458.68
DPZ,15.72,21.9527,0,394.9
UAL,11.55,4.1796,465.17,47.69
CHRW,4.32,13.8441,151.11,86.55
MSCI,14.97,33.7319,0,536.16
DVA,7.8,10.6858,436.5,96.26
V,9.85,22.7654,52.74,247.22
RCL,8.51,16.3023,593.56,97.66
HAS,5.01,16.4295,164.65,69.75
PPG,8.4,14.8660,99.47,136.35
WEC,4.92,14.2194,150.24,84.53
WAT,13.39,18.0133,353.87,263.3
NOC,24.66,10.7714,112.64,425
BKNG,170.26,17.7423,0,3182.68
MGM,2.58,22.2194,661.24,42.7
LOW,14.54,12.4570,0,231.91
TTWO,7.97,23.1718,39.06,145.38
XEL,3.59,11.5917,158.84,57.43
WAB,6.37,14.7462,46.13,107.38
TDY,20.8,16.4702,39.07,409.22
FLT,19.55,14.0567,207.07,272.65
AON,16.07,20.0562,7533.95,333.15
CRM,8.76,28.3003,23.93,225.31
AME,6.71,19.3759,29.3,153.45
PVH,11.41,7.3603,75.22,78.66
AWK,5.13,17.7677,126.41,138.22
HST,1.01,10.4460,66.86,16.14
HSIC,5.72,12.2222,37.59,74.28
DGX,9.11,10.9675,77.92,126.71
GE,4.33,13.6312,73.77,114.26
WRK,2.67,6.2250,97.2,34.06
NCLH,1.54,30.0765,90385.09,16.66
ITW,10.37,18.4966,265.74,238.04
NOW,12.24,120.3678,31.94,605.94
TMUS,9.92,9.7407,177.26,140.26
EQR,1.69,18.4125,66.97,62.58
SO,4.03,13.5507,180.74,68.13
DRI,9.73,15.1830,271.02,148.09
DD,4.94,12.8087,32.39,75.43
ETN,9.75,23.3068,54.38,238.04
WHR,17.4,10.2896,378.66,136.96
CDW,10.64,17.3894,406.21,211.22
LIN,15.29,17.8270,42.4,389.35
PEAK,0.38,17.3137,95.05,19.76
NSC,13.65,10.1607,123.92,195.97
TDG,31.25,21.6073,0,877.82
CME,9.24,21.5898,14.05,205.92
MOS,3.4,4.2122,30.55,37.11
VTRS,2.88,5.9012,90.42,10.01
AVY,9.92,14.9624,175.94,181.04
GWW,38.47,13.6587,86.21,691.99
UNM,7.88,5.1968,37.94,48.43
SPG,6.36,15.9711,722.48,114.74
ZBRA,11.85,13.9456,81.55,254.77
FOXA,3.8,6.1344,77,31.68
IPGP,5.59,13.9391,0.76,100.72
PEP,7.58,18.2001,244.72,178.93
MSFT,11.8,24.0312,38.52,337.94
AVB,5.29,19.4278,69.54,179.53
EVRG,3.96,10.8406,135.12,52.71
GPN,11.85,13.4711,76.75,125.11
